make,model,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,injury_severity,aircraft_damage,broad_phase_of_flight,weather_condition,number_of_engines,engine_type,aircraft_category
Cessna,140,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,401B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,IMC,2.0,Reciprocating,Airplane
Bellanca,17-30A,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,R172K,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Navion,A,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Beech,19,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Enstrom,280C,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Taxi,IMC,1.0,Reciprocating,Helicopter
Cessna,180,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Unknown,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Smith,WCS-222 (BELL 47G),0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Bell,206L-1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Turbo Shaft,Helicopter
Piper,PA-24-180,0.0,0.0,0.0,1.0,Incident,Minor,Approach,VMC,1.0,Reciprocating,Airplane
Grumman,AA-5B,2.0,1.0,0.0,0.0,Fatal(2),Destroyed,Descent,IMC,1.0,Reciprocating,Airplane
Cessna,414A,8.0,0.0,0.0,0.0,Fatal(8),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Beechcraft,BE-58,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Maule,M-5-235C,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,210L,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Bellanca,7GCBC,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Air Tractor,AT-301,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-34-200T,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,T337G,2.0,2.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,2.0,Reciprocating,Airplane
Piper,PA-28R-200,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,206,1.0,0.0,1.0,0.0,Fatal(1),Destroyed,Taxi,VMC,1.0,Reciprocating,Airplane
Navion,A,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-22,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-31,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Rockwell,114,0.0,0.0,0.0,1.0,Incident,Minor,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-250,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-200,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,TR182,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,A185F,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,340,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Aerospatiale,SA-316B,0.0,0.0,0.0,6.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Turbo Shaft,Helicopter
Beech,35,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Mooney,M-20J,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Boeing,A75,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,210,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,V35,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Curtis,C46,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Standing,VMC,2.0,Reciprocating,Airplane
Cessna,172M,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,TU206G,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-250,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Schleicher,ASW 20,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,0.0,Unknown,Glider
Cessna,P210N,0.0,1.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-34,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Taxi,VMC,2.0,Reciprocating,Airplane
Cessna,305 (L-19),0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,182A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-23-250,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Approach,UNK,2.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,4.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Piper,23-250,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Takeoff,IMC,2.0,Reciprocating,Airplane
Mooney,M20G,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,TU206F,0.0,0.0,4.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Quickie,1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,U206,0.0,0.0,3.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,1.0,1.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,210N,4.0,1.0,1.0,0.0,Fatal(4),Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Cessna,180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,310L,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Embraer,EMB-110P1,0.0,0.0,0.0,2.0,Incident,Minor,Taxi,VMC,2.0,Turbo Prop,Airplane
Cessna,414,0.0,0.0,3.0,0.0,Non-Fatal,Destroyed,Descent,UNK,2.0,Reciprocating,Airplane
Beech,P35,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Descent,IMC,1.0,Reciprocating,Airplane
Grumman,AA5B,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Descent,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-201T,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,A23-24,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,IMC,2.0,Reciprocating,Airplane
Cessna,T210N,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Hughes,269C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Helicopter
Cessna,140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Swearingen,SA 226-TC,0.0,1.0,2.0,12.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Turbo Prop,Airplane
Beech,C-45H,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
De Havilland,DHC-2-MK3,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Turbo Prop,Airplane
Bell Helicopter,206L-1,1.0,2.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Turbo Shaft,Helicopter
Cessna,150M,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Go-around,VMC,1.0,Reciprocating,Airplane
Cessna,150M,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Bede Aircraft,BD-5B,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Other,VMC,1.0,Reciprocating,Airplane
Convair,440,0.0,0.0,2.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Piper,PA-31,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Piper,PA-31T,0.0,0.0,3.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,2.0,Turbo Prop,Airplane
Beech,F50,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,1.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,180E,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,170B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Bell,206B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Beech,C23,0.0,2.0,2.0,0.0,Non-Fatal,Destroyed,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,172M,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-28-180,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,180K,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,210L,4.0,0.0,0.0,0.0,Fatal(4),Substantial,Approach,IMC,1.0,Reciprocating,Airplane
Mooney,M20F,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,G35,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,IMC,1.0,Reciprocating,Airplane
Cessna,177B,1.0,2.0,0.0,0.0,Fatal(1),Destroyed,Cruise,UNK,1.0,Reciprocating,Airplane
Grumman,AA5A,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Approach,IMC,1.0,Reciprocating,Airplane
Swearingen,SA226-T(B),3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Approach,IMC,2.0,Turbo Prop,Airplane
De Havilland,DHC-6-300,0.0,0.0,0.0,1.0,Incident,Minor,Descent,IMC,2.0,Turbo Prop,Airplane
Piper,AEROSTAR 601P,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,177RG,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Beachner,QUICK SILVER,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,182E,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150H,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,340A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,UNK,2.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Canadair,CL-44D4,0.0,0.0,0.0,6.0,Non-Fatal,Substantial,Landing,VMC,4.0,Turbo Prop,Airplane
Piper,PA-32,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,0.0,0.0,0.0,2.0,Incident,Minor,Takeoff,VMC,2.0,Reciprocating,Airplane
Beech,58,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,2.0,Reciprocating,Airplane
Cessna,182N,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Descent,IMC,1.0,Reciprocating,Airplane
Piper,PA-23-250,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Cessna,210,1.0,0.0,0.0,1.0,Fatal(1),Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Hughes,269C,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
Cessna,P210N,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,402A,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Douglas,DC-3,0.0,0.0,2.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Piper,PA-23-250,0.0,1.0,2.0,0.0,Non-Fatal,Destroyed,Maneuvering,IMC,2.0,Reciprocating,Airplane
Piper,PA-28-235,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Grumman,AA-1,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Piper,PA-32,0.0,1.0,3.0,0.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,207,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Mooney,M-20,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Air Tractor,301,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Sons Mustang,II,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Unknown,VMC,1.0,Reciprocating,Airplane
Cessna,172M,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Sikorsky,S-58J,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Cessna,172,1.0,1.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,1.0,Reciprocating,Airplane
Mooney,M20C,2.0,0.0,4.0,0.0,Fatal(2),Destroyed,Unknown,VMC,1.0,Reciprocating,Airplane
Grumman,G-164A,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Mcdonnell Douglas,DC-10-30,2.0,4.0,24.0,182.0,Fatal(2),Destroyed,Landing,IMC,3.0,Turbo Fan,Airplane
Beech,A23A,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-32-300,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-34-200T,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Piper,PA-28-235,2.0,0.0,4.0,0.0,Fatal(2),Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,150H,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Bell/textron,206 L-1,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Turbo Shaft,Helicopter
Bell,47G-2,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Piper,PA-38-112,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Go-around,VMC,1.0,Reciprocating,Airplane
Robertson,C-402B,7.0,0.0,0.0,0.0,Fatal(7),Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Approach,UNK,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172RG,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Standing,VMC,1.0,Reciprocating,Airplane
Cessna,177,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,182M,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,UNK,1.0,Reciprocating,Airplane
Cessna,152II,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,A188B,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Bellanca,7GCBC,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Hughes,369D,0.0,0.0,2.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Bell,UH1B,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Aeronca,7BCM,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,28-151,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,340A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,172H,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Mooney,M20C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,A185F,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-32-260,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,172N,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,150,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-201T,0.0,0.0,0.0,1.0,Incident,Minor,Landing,VMC,1.0,Reciprocating,Airplane
Mooney,M20J,0.0,0.0,0.0,4.0,Non-Fatal,Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,TR182,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Aeronca,7AC,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,177B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,140,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,182L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172P,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,IMC,1.0,Reciprocating,Airplane
Piper,PA-22,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,150L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Beech,36,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,180K,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-22,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,99,0.0,5.0,2.0,0.0,Non-Fatal,Destroyed,Approach,IMC,2.0,Turbo Prop,Airplane
Cessna,172,0.0,1.0,1.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Aerospatiale,SA-360C,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Cessna,182,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,IMC,1.0,Reciprocating,Airplane
Bellanca,7ECA,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,TR182,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,P206,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Grumman,1159,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,2.0,Turbo Jet,Airplane
Piper,PA-32,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-23-250,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Cessna,150G,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Unknown,VMC,1.0,Reciprocating,Airplane
Cessna,U206G,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,T210N,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Smith Miniplane,BK-1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Mooney,M20J,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Mitsubishi,MU2B-40,0.0,0.0,6.0,0.0,Non-Fatal,Destroyed,Landing,IMC,2.0,Turbo Prop,Airplane
Mcdonnell-douglas,DC-10-10,0.0,1.0,0.0,154.0,Non-Fatal,Minor,Takeoff,IMC,3.0,Turbo Fan,Airplane
Cessna,150J,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Taylorcraft,F19,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Bell,206L-1,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Ted Smith,AEROSTAR 600,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,IMC,2.0,Reciprocating,Airplane
